"","FTSE100","CAC40","DAX"
"2004-07-22",4306.299805,3572.840088,3801.050049
"2004-07-23",4326.299805,3567.290039,3797.330078
"2004-07-26",4287,3532.610107,3752.590088
"2004-07-27",4324.899902,3565.100098,3814.080078
"2004-07-28",4356.299805,3575.919922,3807.209961
"2004-07-29",4418.700195,3643.790039,3889.679932
"2004-07-30",4413.100098,3647.100098,3895.610107
"2004-08-02",4415.700195,3623.790039,3862.709961
"2004-08-03",4429.700195,3650.800049,3877.320068
"2004-08-04",4408.100098,3607.580078,3823.73999
"2004-08-05",4413.399902,3622.97998,3829.030029
"2004-08-06",4337.899902,3528.639893,3727.73999
"2004-08-09",4314.399902,3497.300049,3690.330078
"2004-08-10",4350.899902,3533.060059,3720.639893
"2004-08-11",4312.200195,3502.949951,3678.909912
"2004-08-12",4328.100098,3494.22998,3658.110107
"2004-08-13",4301.5,3484.840088,3646.98999
"2004-08-16",4350.200195,3516.679932,3699.110107
"2004-08-17",4358.700195,3533.129883,3705.72998
"2004-08-18",4355.299805,3541.47998,3726.5
"2004-08-19",4362.600098,3544.419922,3722.98999
"2004-08-20",4369.200195,3538.02002,3712.610107
"2004-08-23",4405.299805,3589.689941,3772.139893
"2004-08-24",4407.5,3594.379883,3771
"2004-08-25",4411.600098,3595.26001,3788.879883
"2004-08-26",4453.899902,3629.840088,3832.280029
"2004-08-27",4490.100098,3649.23999,3851.179932
"2004-08-30",NA,3636.709961,3838.850098
"2004-08-31",4459.299805,3594.280029,3785.209961
"2004-09-01",4502.100098,3613.22998,3817.620117
"2004-09-02",4518.600098,3633.379883,3833.449951
"2004-09-03",4550.799805,3665.939941,3866.98999
"2004-09-06",4563.799805,3673.030029,3887.580078
"2004-09-07",4565.600098,3682.139893,3889.040039
"2004-09-08",4558.399902,3677.550049,3884.159912
"2004-09-09",4538,3652.02002,3851.219971
"2004-09-10",4545,3677.610107,3886.030029
"2004-09-13",4558.5,3725.399902,3953.310059
"2004-09-14",4545.600098,3708.030029,3947.75
"2004-09-15",4548.5,3691.850098,3941.75
"2004-09-16",4556.5,3691.679932,3963.649902
"2004-09-17",4591,3726.219971,3988.070068
"2004-09-20",4579.5,3703.689941,3977.679932
"2004-09-21",4608.399902,3731.139893,3991.02002
"2004-09-22",4592.299805,3692.110107,3942.350098
"2004-09-23",4568.299805,3653.100098,3905.659912
"2004-09-24",4578.100098,3673.51001,3910.300049
"2004-09-27",4541.200195,3656.929932,3874.370117
"2004-09-28",4567.299805,3667.469971,3882.27002
"2004-09-29",4588.100098,3682.669922,3920.360107
"2004-09-30",4570.799805,3640.610107,3892.899902
"2004-10-01",4659.700195,3730.159912,3994.959961
"2004-10-04",4681.799805,3767.060059,4033.280029
"2004-10-05",4707.100098,3770.23999,4048.709961
"2004-10-06",4706.299805,3764.590088,4049.659912
