"","date","FCHI.Adjusted","FTSE.Adjusted","GDAXI.Adjusted"
"1",2007-07-23,6009.160156,6624.399902,7944.209961
"2",2007-07-24,5907.470215,6498.700195,7806.790039
"3",2007-07-25,5837.109863,6454.299805,7692.549805
"4",2007-07-26,5675.049805,6251.200195,7508.959961
"5",2007-07-27,5643.959961,6215.200195,7451.680176
"6",2007-07-30,5646.359863,6206.100098,7456.310059
"7",2007-07-31,5751.080078,6360.100098,7584.140137
"8",2007-08-01,5654.299805,6250.600098,7473.930176
"9",2007-08-02,5682.069824,6300.299805,7534.129883
"10",2007-08-03,5597.890137,6224.299805,7435.669922
"11",2007-08-06,5532.990234,6189.100098,7444.450195
"12",2007-08-07,5620.399902,6308.799805,7513.660156
"13",2007-08-08,5749.290039,6393.899902,7605.939941
"14",2007-08-09,5624.779785,6271.200195,7453.589844
"15",2007-08-10,5448.629883,6038.299805,7343.259766
"16",2007-08-13,5569.279785,6219,7474.330078
"17",2007-08-14,5478.660156,6143.5,7425.069824
"18",2007-08-15,5442.720215,6109.299805,7445.899902
"19",2007-08-16,5265.470215,5858.899902,7270.069824
"20",2007-08-17,5363.629883,6064.200195,7378.290039
"21",2007-08-20,5399.379883,6078.700195,7407.529785
"22",2007-08-21,5418.779785,6086.100098,7424.75
"23",2007-08-22,5518.169922,6196,7500.47998
"24",2007-08-23,5523.330078,6196.899902,7511.959961
"25",2007-08-24,5569.379883,6220.100098,7507.27002
"26",2007-08-27,5590.540039,NA,7485.990234
"27",2007-08-28,5474.169922,6102.200195,7430.240234
"28",2007-08-29,5520.02002,6132.200195,7439.180176
"29",2007-08-30,5592.529785,6212,7519.939941
"30",2007-08-31,5662.700195,6303.299805,7638.169922
"31",2007-09-03,5651.27002,6315.200195,7648.580078
"32",2007-09-04,5672.720215,6376.799805,7721.77002
"33",2007-09-05,5551.549805,6270.700195,7588.029785
"34",2007-09-06,5576.620117,6313.299805,7621.720215
"35",2007-09-07,5430.100098,6191.200195,7436.629883
"36",2007-09-10,5386.430176,6134.100098,7375.439941
"37",2007-09-11,5478.939941,6280.700195,7457.899902
"38",2007-09-12,5508.009766,6306.200195,7472.990234
"39",2007-09-13,5565.970215,6363.899902,7535.970215
"40",2007-09-14,5538.919922,6289.299805,7497.740234
"41",2007-09-17,5439.370117,6182.799805,7479.850098
"42",2007-09-18,5549.350098,6283.299805,7575.209961
"43",2007-09-19,5730.819824,6460,7750.839844
"44",2007-09-20,5688.759766,6429,7735.089844
"45",2007-09-21,5700.649902,6456.700195,7794.430176
"46",2007-09-24,5692.490234,6465.899902,7787.919922
"47",2007-09-25,5641.589844,6396.899902,7769.439941
"48",2007-09-26,5690.77002,6433,7804.149902
"49",2007-09-27,5733.370117,6486.399902,7853.790039
"50",2007-09-28,5715.689941,6466.799805,7861.509766
"51",2007-10-01,5773.259766,6506.299805,7922.419922
"52",2007-10-02,5799.27002,6500.399902,7946.790039
"53",2007-10-03,5806.180176,6535.200195,7955.299805
"54",2007-10-04,5804.390137,6547.899902,7944.990234
"55",2007-10-05,5843.240234,6595.799805,8002.180176
"56",2007-10-08,5829.399902,6540.899902,7974.370117
"57",2007-10-09,5861.930176,6615.399902,7980.439941
"58",2007-10-10,5838.490234,6633,7986.569824
"59",2007-10-11,5862.830078,6724.5,8033.689941
"60",2007-10-12,5843.950195,6730.700195,8041.259766
"61",2007-10-15,5807.439941,6644.5,7969.470215
"62",2007-10-16,5774.359863,6614.299805,7962.640137
"63",2007-10-17,5818.799805,6677.700195,7985.410156
"64",2007-10-18,5767.240234,6609.399902,7921.399902
"65",2007-10-19,5740.47998,6527.899902,7884.120117
"66",2007-10-22,5661.27002,6459.299805,7794.939941
"67",2007-10-23,5705.049805,6514,7842.790039
"68",2007-10-24,5674.669922,6482,7828.959961
"69",2007-10-25,5760.299805,6576.299805,7932.439941
"70",2007-10-26,5794.870117,6661.299805,7949.169922
"71",2007-10-29,5836.189941,6706,8009.669922
"72",2007-10-30,5803.930176,6659,7977.939941
"73",2007-10-31,5847.950195,6721.600098,8019.220215
"74",2007-11-01,5730.919922,6586.100098,7880.850098
"75",2007-11-02,5720.419922,6530.600098,7849.490234
"76",2007-11-05,5684.620117,6461.399902,7807.549805
"77",2007-11-06,5709.419922,6474.899902,7827.189941
"78",2007-11-07,5683.220215,6385.100098,7799.620117
"79",2007-11-08,5631.629883,6381.899902,7819.470215
"80",2007-11-09,5524.180176,6304.899902,7812.399902
"81",2007-11-12,5535.560059,6337.899902,7806.839844
"82",2007-11-13,5538.910156,6362.399902,7777.560059
"83",2007-11-14,5613.600098,6432.100098,7783.109863
"84",2007-11-15,5561.129883,6359.600098,7667.029785
"85",2007-11-16,5523.629883,6291.200195,7612.259766
"86",2007-11-19,5432.569824,6120.799805,7511.970215
"87",2007-11-20,5506.680176,6226.5,7630.310059
"88",2007-11-21,5381.299805,6070.899902,7518.419922
"89",2007-11-22,5416.100098,6155.299805,7562.100098
"90",2007-11-23,5521.169922,6262.100098,7608.959961
"91",2007-11-26,5458.390137,6180.5,7567.359863
"92",2007-11-27,5434.169922,6140.700195,7531.350098
"93",2007-11-28,5561.209961,6306.200195,7723.660156
"94",2007-11-29,5598.109863,6349.100098,7765.189941
"95",2007-11-30,5670.569824,6432.5,7870.52002
"96",2007-12-03,5629.459961,6386.600098,7837.259766
"97",2007-12-04,5547.209961,6315.200195,7808.939941
"98",2007-12-05,5659.069824,6493.799805,7944.77002
"99",2007-12-06,5673.759766,6485.600098,7940.580078
"100",2007-12-07,5718.75,6554.899902,7994.069824
"101",2007-12-10,5750.919922,6565.399902,8033.359863
"102",2007-12-11,5724.759766,6536.899902,8009.419922
"103",2007-12-12,5743.319824,6559.799805,8076.120117
"104",2007-12-13,5590.910156,6364.200195,7928.310059
"105",2007-12-14,5605.359863,6397,7948.359863
"106",2007-12-17,5514.879883,6277.799805,7825.439941
"107",2007-12-18,5509.370117,6279.299805,7850.740234
"108",2007-12-19,5497.419922,6284.5,7837.319824
"109",2007-12-20,5511.450195,6345.600098,7869.189941
"110",2007-12-21,5602.77002,6434.100098,8002.669922
"111",2007-12-24,5614.279785,6479.299805,NA
"112",2007-12-27,5627.47998,6497.799805,8038.600098
"113",2007-12-28,5627.25,6476.899902,8067.319824
"114",2007-12-31,5614.080078,6456.899902,NA
"115",2008-01-02,5550.359863,6416.700195,7949.109863
"116",2008-01-03,5546.080078,6479.399902,7908.410156
"117",2008-01-04,5446.790039,6348.5,7808.689941
"118",2008-01-07,5452.830078,6335.700195,7817.169922
"119",2008-01-08,5495.669922,6356.5,7849.990234
"120",2008-01-09,5435.419922,6272.700195,7782.709961
"121",2008-01-10,5400.430176,6222.700195,7713.089844
"122",2008-01-11,5371.410156,6202,7717.950195
"123",2008-01-14,5403.509766,6215.700195,7732.02002
"124",2008-01-15,5250.819824,6025.600098,7566.379883
"125",2008-01-16,5225.390137,5942.899902,7471.569824
"126",2008-01-17,5157.089844,5902.399902,7413.529785
"127",2008-01-18,5092.399902,5901.700195,7314.169922
"128",2008-01-21,4744.450195,5578.200195,6790.189941
"129",2008-01-22,4842.540039,5740.100098,6769.470215
"130",2008-01-23,4636.759766,5609.399902,6439.209961
"131",2008-01-24,4915.290039,5875.799805,6821.069824
"132",2008-01-25,4878.120117,5869,6816.740234
"133",2008-01-28,4848.299805,5788.899902,6818.850098
"134",2008-01-29,4941.450195,5885.200195,6892.959961
"135",2008-01-30,4873.569824,5837.299805,6875.350098
"136",2008-01-31,4869.790039,5879.799805,6851.75
"137",2008-02-01,4978.060059,6029.200195,6968.669922
"138",2008-02-04,4973.640137,6026.200195,7000.490234
"139",2008-02-05,4776.859863,5868,6765.25
"140",2008-02-06,4816.430176,5875.399902,6847.509766
"141",2008-02-07,4723.799805,5724.100098,6733.720215
"142",2008-02-08,4709.649902,5784,6767.279785
"143",2008-02-11,4682.700195,5707.700195,6743.540039
"144",2008-02-12,4840.709961,5910,6967.839844
"145",2008-02-13,4855.399902,5880.100098,6973.669922
"146",2008-02-14,4858.649902,5879.299805,6962.279785
"147",2008-02-15,4771.790039,5787.600098,6832.430176
"148",2008-02-18,4861.799805,5946.600098,6967.549805
"149",2008-02-19,4885.830078,5966.899902,7002.290039
"150",2008-02-20,4812.810059,5893.600098,6899.680176
"151",2008-02-21,4858.850098,5932.200195,6904.850098
"152",2008-02-22,4824.549805,5888.5,6806.290039
"153",2008-02-25,4919.259766,5999.5,6882.560059
"154",2008-02-26,4973.069824,6087.399902,6985.970215
"155",2008-02-27,4968.819824,6076.5,6997.850098
"156",2008-02-28,4865.22998,5965.700195,6862.52002
"157",2008-02-29,4790.660156,5884.299805,6748.129883
"158",2008-03-03,4742.660156,5818.600098,6689.950195
"159",2008-03-04,4675.910156,5767.700195,6545.040039
"160",2008-03-05,4756.419922,5853.5,6683.709961
"161",2008-03-06,4678.049805,5766.399902,6591.310059
"162",2008-03-07,4618.959961,5699.899902,6513.990234
